,cut,color,clarity,city_Amsterdam,city_Antwerp,city_Dubai,city_Kimberly,city_Las Vegas,city_London,city_Luxembourg,city_Madrid,city_New York City,city_Paris,city_Surat,city_Tel Aviv,city_Zurich
28,6,4.29,3.75,0,1,0,0,0,0,0,0,0,0,0,0,0
29,10,4.29,2.5,0,1,0,0,0,0,0,0,0,0,0,0,0
30,10,5.71,2.5,0,0,0,0,0,0,0,0,0,0,0,1,0
31,15,4.29,8.75,1,0,0,0,0,0,0,0,0,0,0,0,0
32,15,4.29,8.75,0,0,0,0,0,0,0,0,0,0,0,0,1
33,15,8.57,2.5,0,0,0,0,0,0,0,0,0,0,1,0,0
34,6,4.29,6.25,0,0,0,1,0,0,0,0,0,0,0,0,0
35,6,4.29,3.75,0,0,0,1,0,0,0,0,0,0,0,0,0
36,10,2.86,2.5,0,0,1,0,0,0,0,0,0,0,0,0,0
37,6,8.57,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0
38,10,7.14,3.75,0,0,0,0,0,0,0,0,0,0,0,0,1
39,15,8.57,2.5,0,0,0,0,0,0,0,0,0,0,1,0,0
40,15,5.71,7.5,0,0,0,1,0,0,0,0,0,0,0,0,0
41,10,5.71,2.5,0,0,0,1,0,0,0,0,0,0,0,0,0
42,15,5.71,7.5,0,1,0,0,0,0,0,0,0,0,0,0,0
43,15,8.57,5.0,0,0,0,0,0,0,0,0,0,0,1,0,0
44,15,10.0,3.75,0,0,0,0,0,1,0,0,0,0,0,0,0
45,10,8.57,5.0,0,0,0,1,0,0,0,0,0,0,0,0,0
46,15,5.71,6.25,0,1,0,0,0,0,0,0,0,0,0,0,0
47,1,4.29,3.75,0,0,0,0,0,0,0,0,1,0,0,0,0
48,15,5.71,5.0,0,0,0,0,0,0,0,0,0,0,1,0,0
49,6,10.0,3.75,0,0,0,0,0,0,0,0,0,0,0,0,1
50,6,4.29,6.25,0,0,0,0,0,0,0,0,1,0,0,0,0
51,6,7.14,3.75,0,1,0,0,0,0,0,0,0,0,0,0,0
52,15,2.86,6.25,0,0,0,0,0,0,0,0,0,0,1,0,0
53,15,5.71,5.0,0,0,0,0,0,1,0,0,0,0,0,0,0
54,15,8.57,6.25,0,0,0,0,0,1,0,0,0,0,0,0,0
55,6,4.29,8.75,0,0,0,0,0,0,0,0,0,0,0,1,0
56,3,1.43,3.75,0,0,0,0,0,0,1,0,0,0,0,0,0
57,15,8.57,1.25,0,0,0,0,0,0,0,0,0,0,0,1,0
58,10,4.29,6.25,0,0,0,0,0,0,0,0,1,0,0,0,0
59,15,4.29,6.25,0,0,0,0,0,0,0,0,0,0,1,0,0
60,3,5.71,3.75,0,0,1,0,0,0,0,0,0,0,0,0,0
61,15,4.29,3.75,0,0,0,1,0,0,0,0,0,0,0,0,0
62,15,8.57,7.5,0,0,0,0,0,0,0,0,0,0,0,0,1
63,15,5.71,5.0,0,0,0,1,0,0,0,0,0,0,0,0,0
64,15,7.14,5.0,0,0,0,0,0,0,0,0,0,0,1,0,0
65,15,2.86,5.0,0,0,0,0,0,1,0,0,0,0,0,0,0
66,15,5.71,3.75,0,0,1,0,0,0,0,0,0,0,0,0,0
67,15,4.29,7.5,0,0,0,0,0,0,0,1,0,0,0,0,0
68,15,2.86,7.5,0,0,0,0,0,0,0,0,0,0,0,0,1
69,6,4.29,3.75,0,0,0,1,0,0,0,0,0,0,0,0,0
70,15,10.0,2.5,0,0,0,0,0,0,0,0,0,0,1,0,0
71,15,4.29,5.0,0,0,0,0,0,0,0,0,0,0,0,1,0
72,3,4.29,5.0,0,0,0,0,0,1,0,0,0,0,0,0,0
73,15,2.86,6.25,0,0,0,0,0,0,0,0,0,0,1,0,0
74,15,5.71,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0
75,6,7.14,6.25,0,0,0,0,0,0,0,0,1,0,0,0,0
76,15,8.57,3.75,0,0,1,0,0,0,0,0,0,0,0,0,0
77,10,8.57,5.0,0,0,0,0,0,0,0,0,1,0,0,0,0
78,15,10.0,5.0,0,0,0,0,0,0,0,0,0,1,0,0,0
79,10,10.0,7.5,0,1,0,0,0,0,0,0,0,0,0,0,0
80,10,5.71,5.0,0,0,0,0,0,0,0,0,0,0,1,0,0
81,15,2.86,3.75,0,0,0,0,0,0,0,0,0,1,0,0,0
82,1,1.43,5.0,0,0,0,0,0,0,0,0,0,0,0,1,0
83,10,2.86,3.75,0,0,0,0,0,0,0,0,1,0,0,0,0
84,10,8.57,5.0,0,0,0,0,0,1,0,0,0,0,0,0,0
85,6,7.14,6.25,0,1,0,0,0,0,0,0,0,0,0,0,0
86,10,2.86,3.75,0,0,0,0,0,0,0,0,0,0,1,0,0
87,15,2.86,3.75,0,0,0,0,0,0,0,0,0,1,0,0,0
88,10,4.29,2.5,0,0,0,0,0,0,1,0,0,0,0,0,0
89,6,7.14,5.0,0,0,0,1,0,0,0,0,0,0,0,0,0
90,10,5.71,3.75,0,1,0,0,0,0,0,0,0,0,0,0,0
91,6,8.57,2.5,1,0,0,0,0,0,0,0,0,0,0,0,0
92,6,10.0,3.75,0,0,0,0,1,0,0,0,0,0,0,0,0
93,15,7.14,3.75,0,0,0,0,0,0,0,0,0,0,0,1,0
94,15,10.0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,1
95,1,7.14,2.5,0,0,0,0,0,0,0,0,0,0,1,0,0
96,10,5.71,8.75,0,0,0,0,0,0,1,0,0,0,0,0,0
97,15,2.86,2.5,0,0,0,0,0,0,0,1,0,0,0,0,0
98,15,8.57,6.25,0,0,0,1,0,0,0,0,0,0,0,0,0
99,10,1.43,7.5,0,1,0,0,0,0,0,0,0,0,0,0,0
100,15,5.71,5.0,0,0,0,1,0,0,0,0,0,0,0,0,0
101,10,8.57,3.75,0,0,0,1,0,0,0,0,0,0,0,0,0
102,15,10.0,2.5,0,0,0,0,0,0,0,0,0,0,1,0,0
103,15,4.29,3.75,0,1,0,0,0,0,0,0,0,0,0,0,0
104,3,10.0,5.0,0,0,0,0,0,1,0,0,0,0,0,0,0
105,10,5.71,2.5,0,0,0,0,0,0,0,0,0,0,1,0,0
106,15,8.57,2.5,0,0,0,0,0,0,0,0,0,0,0,1,0
107,15,5.71,2.5,0,0,0,0,0,0,0,0,1,0,0,0,0
108,15,8.57,8.75,0,0,0,1,0,0,0,0,0,0,0,0,0
109,15,2.86,5.0,0,0,0,0,0,0,0,0,0,0,1,0,0
110,6,10.0,2.5,1,0,0,0,0,0,0,0,0,0,0,0,0
111,15,2.86,6.25,0,0,0,0,0,0,0,1,0,0,0,0,0
112,3,4.29,5.0,0,0,0,0,0,0,0,0,0,0,0,0,1
113,15,5.71,6.25,0,0,0,0,0,0,0,0,0,0,1,0,0
114,6,5.71,5.0,0,0,0,0,0,0,1,0,0,0,0,0,0
115,10,7.14,6.25,0,0,0,0,0,0,0,1,0,0,0,0,0
116,10,7.14,7.5,0,1,0,0,0,0,0,0,0,0,0,0,0
117,15,2.86,3.75,0,0,0,0,0,0,0,0,0,0,1,0,0
118,10,10.0,3.75,0,1,0,0,0,0,0,0,0,0,0,0,0
119,6,5.71,6.25,0,0,0,0,0,0,0,1,0,0,0,0,0
120,15,7.14,2.5,0,0,0,0,0,0,0,0,1,0,0,0,0
121,6,7.14,8.75,0,0,0,1,0,0,0,0,0,0,0,0,0
122,3,7.14,2.5,0,0,0,0,0,0,0,0,0,1,0,0,0
123,15,4.29,2.5,0,0,0,0,0,0,0,0,0,1,0,0,0
124,15,5.71,7.5,0,0,0,0,0,0,0,0,0,0,1,0,0
125,6,1.43,3.75,0,0,0,0,1,0,0,0,0,0,0,0,0
126,6,4.29,2.5,0,0,0,0,0,1,0,0,0,0,0,0,0
127,15,10.0,3.75,0,0,0,0,0,0,0,0,1,0,0,0,0
128,10,8.57,3.75,0,0,0,0,0,0,0,0,0,1,0,0,0
129,10,5.71,5.0,0,0,0,1,0,0,0,0,0,0,0,0,0
130,15,7.14,5.0,0,0,0,1,0,0,0,0,0,0,0,0,0
131,10,7.14,2.5,0,0,0,0,0,0,0,0,0,0,1,0,0
132,15,4.29,5.0,0,0,0,0,0,1,0,0,0,0,0,0,0
133,6,2.86,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0
134,10,5.71,2.5,1,0,0,0,0,0,0,0,0,0,0,0,0
135,10,10.0,5.0,0,0,0,0,0,0,0,0,1,0,0,0,0
136,6,5.71,6.25,0,0,0,0,1,0,0,0,0,0,0,0,0
137,10,7.14,8.75,0,0,0,1,0,0,0,0,0,0,0,0,0
138,15,4.29,7.5,0,1,0,0,0,0,0,0,0,0,0,0,0
139,10,7.14,2.5,0,0,0,1,0,0,0,0,0,0,0,0,0
140,15,4.29,6.25,0,0,0,0,0,1,0,0,0,0,0,0,0
141,15,4.29,8.75,0,1,0,0,0,0,0,0,0,0,0,0,0
142,15,5.71,10.0,0,0,1,0,0,0,0,0,0,0,0,0,0
143,15,8.57,1.25,0,0,0,1,0,0,0,0,0,0,0,0,0
144,10,2.86,3.75,0,0,0,0,1,0,0,0,0,0,0,0,0
145,6,5.71,2.5,0,0,0,0,0,0,0,0,0,0,0,1,0
146,15,5.71,5.0,0,0,0,0,0,0,0,0,0,0,1,0,0
147,15,7.14,2.5,0,0,0,0,1,0,0,0,0,0,0,0,0
148,10,5.71,3.75,0,0,0,0,0,0,0,0,0,0,1,0,0
149,15,7.14,5.0,0,0,0,0,0,0,0,1,0,0,0,0,0
150,3,8.57,3.75,1,0,0,0,0,0,0,0,0,0,0,0,0
151,1,4.29,6.25,0,0,0,0,0,0,0,0,0,1,0,0,0
152,15,7.14,7.5,0,0,0,0,0,0,0,0,0,0,1,0,0
153,15,10.0,10.0,0,0,0,0,0,0,0,0,0,0,1,0,0
154,6,4.29,5.0,0,0,0,0,0,0,0,0,0,0,1,0,0
155,15,8.57,6.25,0,0,0,0,0,0,0,0,1,0,0,0,0
156,10,7.14,3.75,1,0,0,0,0,0,0,0,0,0,0,0,0
157,6,8.57,5.0,0,0,0,0,0,0,0,1,0,0,0,0,0
158,15,10.0,2.5,0,0,0,0,0,0,1,0,0,0,0,0,0
159,1,4.29,3.75,0,0,0,1,0,0,0,0,0,0,0,0,0
160,15,5.71,8.75,0,0,0,0,0,0,0,0,0,0,0,0,1
161,10,2.86,2.5,1,0,0,0,0,0,0,0,0,0,0,0,0
162,15,5.71,10.0,0,0,0,0,0,0,0,1,0,0,0,0,0
163,15,4.29,5.0,0,0,0,0,0,0,0,0,1,0,0,0,0
164,10,5.71,10.0,0,0,0,1,0,0,0,0,0,0,0,0,0
165,6,8.57,7.5,1,0,0,0,0,0,0,0,0,0,0,0,0
166,6,7.14,3.75,0,0,0,0,0,0,0,0,0,1,0,0,0
167,15,7.14,6.25,0,0,0,0,0,1,0,0,0,0,0,0,0
168,3,5.71,3.75,0,0,0,0,0,1,0,0,0,0,0,0,0
169,3,8.57,5.0,0,0,0,0,0,0,0,0,0,1,0,0,0
170,3,10.0,2.5,0,0,1,0,0,0,0,0,0,0,0,0,0
171,6,7.14,2.5,0,0,0,0,0,0,1,0,0,0,0,0,0
172,10,10.0,2.5,1,0,0,0,0,0,0,0,0,0,0,0,0
173,10,10.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0
174,15,7.14,5.0,0,0,0,0,0,0,0,0,0,0,0,1,0
175,6,7.14,6.25,0,0,0,1,0,0,0,0,0,0,0,0,0
176,6,10.0,5.0,0,0,0,1,0,0,0,0,0,0,0,0,0
177,6,4.29,2.5,0,0,0,0,0,0,0,0,0,0,1,0,0
178,6,4.29,5.0,0,0,0,0,0,0,0,0,0,1,0,0,0
179,15,5.71,5.0,0,0,0,0,1,0,0,0,0,0,0,0,0
180,15,8.57,3.75,0,0,0,0,0,0,0,0,0,0,0,1,0
181,15,4.29,6.25,0,1,0,0,0,0,0,0,0,0,0,0,0
182,15,10.0,3.75,0,0,0,0,0,0,0,0,0,0,0,0,1
183,15,2.86,2.5,0,0,0,1,0,0,0,0,0,0,0,0,0
184,3,5.71,3.75,0,1,0,0,0,0,0,0,0,0,0,0,0
185,6,1.43,3.75,0,0,0,0,0,0,0,0,0,0,0,1,0
186,6,7.14,10.0,0,0,0,0,0,0,0,0,0,0,1,0,0
187,15,10.0,8.75,0,0,0,0,0,0,1,0,0,0,0,0,0
188,10,4.29,2.5,0,0,0,0,0,0,0,0,0,0,1,0,0
189,6,5.71,8.75,0,0,0,0,0,0,0,0,0,0,0,1,0
190,15,5.71,6.25,0,0,0,0,1,0,0,0,0,0,0,0,0
191,6,7.14,3.75,0,0,0,0,0,0,0,1,0,0,0,0,0
192,15,2.86,5.0,0,0,0,0,0,0,0,0,0,0,1,0,0
193,15,1.43,2.5,0,0,0,0,0,0,0,1,0,0,0,0,0
194,10,5.71,5.0,0,0,0,0,0,1,0,0,0,0,0,0,0
195,10,10.0,2.5,1,0,0,0,0,0,0,0,0,0,0,0,0
196,3,8.57,3.75,0,0,0,0,0,1,0,0,0,0,0,0,0
197,1,7.14,3.75,0,0,0,0,0,0,0,1,0,0,0,0,0
198,1,5.71,2.5,0,0,0,0,0,0,0,0,0,1,0,0,0
199,10,4.29,3.75,0,0,0,0,0,0,0,0,0,0,0,0,1
200,15,5.71,2.5,1,0,0,0,0,0,0,0,0,0,0,0,0
201,10,5.71,2.5,0,0,0,0,0,0,0,0,0,0,0,1,0
202,6,7.14,2.5,0,0,0,0,0,0,0,0,0,0,1,0,0
203,6,8.57,6.25,0,0,0,0,0,1,0,0,0,0,0,0,0
204,10,7.14,2.5,0,0,0,1,0,0,0,0,0,0,0,0,0
205,15,2.86,5.0,0,0,0,0,0,0,0,0,0,0,1,0,0
206,10,5.71,8.75,0,0,0,0,0,0,0,0,0,0,0,0,1
207,3,10.0,2.5,0,0,0,1,0,0,0,0,0,0,0,0,0
208,6,10.0,3.75,0,0,0,1,0,0,0,0,0,0,0,0,0
209,10,10.0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,1
210,10,4.29,5.0,0,0,0,1,0,0,0,0,0,0,0,0,0
211,6,8.57,5.0,0,0,0,0,0,0,0,0,0,0,1,0,0
212,15,5.71,7.5,0,0,0,0,0,0,0,0,1,0,0,0,0
213,10,5.71,2.5,0,0,0,0,0,0,1,0,0,0,0,0,0
214,15,5.71,2.5,0,0,0,1,0,0,0,0,0,0,0,0,0
215,10,8.57,6.25,0,1,0,0,0,0,0,0,0,0,0,0,0
216,15,4.29,3.75,0,0,0,0,0,1,0,0,0,0,0,0,0
217,10,8.57,6.25,0,0,0,0,0,0,0,0,0,0,1,0,0
218,15,7.14,10.0,0,0,0,0,1,0,0,0,0,0,0,0,0
219,6,10.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0
220,6,5.71,5.0,0,0,0,0,0,0,0,1,0,0,0,0,0
221,10,7.14,5.0,0,0,0,0,0,0,0,0,0,0,1,0,0
222,10,8.57,1.25,1,0,0,0,0,0,0,0,0,0,0,0,0
223,10,5.71,5.0,0,0,0,0,1,0,0,0,0,0,0,0,0
224,3,5.71,6.25,0,0,0,0,0,0,1,0,0,0,0,0,0
225,6,2.86,6.25,0,0,1,0,0,0,0,0,0,0,0,0,0
226,6,8.57,5.0,0,0,0,0,0,0,0,0,0,1,0,0,0
227,3,5.71,7.5,0,0,0,1,0,0,0,0,0,0,0,0,0
228,10,7.14,6.25,0,1,0,0,0,0,0,0,0,0,0,0,0
229,6,5.71,3.75,0,0,0,0,0,0,0,0,0,0,1,0,0
230,10,5.71,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0
231,15,7.14,3.75,0,0,0,0,0,1,0,0,0,0,0,0,0
232,15,5.71,2.5,0,0,0,0,0,0,0,0,0,0,0,1,0
233,6,10.0,5.0,0,0,0,1,0,0,0,0,0,0,0,0,0
234,15,5.71,8.75,0,0,0,0,0,0,0,0,0,0,1,0,0
235,10,5.71,6.25,0,1,0,0,0,0,0,0,0,0,0,0,0
236,6,7.14,6.25,0,0,0,0,0,1,0,0,0,0,0,0,0
237,6,8.57,8.75,0,0,0,0,1,0,0,0,0,0,0,0,0
238,6,2.86,6.25,0,1,0,0,0,0,0,0,0,0,0,0,0
239,15,10.0,6.25,0,0,0,0,0,0,0,0,0,0,1,0,0
240,15,5.71,3.75,0,0,0,1,0,0,0,0,0,0,0,0,0
241,10,7.14,10.0,0,0,0,0,0,0,0,0,0,1,0,0,0
242,1,5.71,3.75,0,0,0,0,0,0,0,0,0,0,0,0,1
243,6,5.71,3.75,0,0,0,0,0,0,0,0,0,0,1,0,0
244,3,10.0,2.5,0,0,1,0,0,0,0,0,0,0,0,0,0
245,6,7.14,7.5,0,0,0,0,0,0,1,0,0,0,0,0,0
246,15,4.29,5.0,0,0,0,1,0,0,0,0,0,0,0,0,0
247,15,5.71,8.75,0,0,0,0,0,0,0,0,0,1,0,0,0
248,6,1.43,3.75,0,1,0,0,0,0,0,0,0,0,0,0,0
249,15,10.0,6.25,0,0,1,0,0,0,0,0,0,0,0,0,0
250,10,7.14,2.5,0,0,0,0,0,0,1,0,0,0,0,0,0
251,15,4.29,6.25,0,0,0,0,0,0,0,0,0,0,1,0,0
252,3,10.0,8.75,0,0,0,1,0,0,0,0,0,0,0,0,0
253,15,5.71,8.75,0,1,0,0,0,0,0,0,0,0,0,0,0
254,10,4.29,3.75,0,1,0,0,0,0,0,0,0,0,0,0,0
255,15,7.14,8.75,0,0,0,0,0,0,0,0,0,0,0,0,1
256,6,7.14,2.5,0,0,0,0,0,0,0,0,1,0,0,0,0
257,10,7.14,7.5,0,0,0,0,0,0,0,0,1,0,0,0,0
258,10,5.71,5.0,0,0,0,0,0,0,0,0,0,1,0,0,0
259,6,10.0,3.75,0,0,0,0,1,0,0,0,0,0,0,0,0
260,6,8.57,2.5,0,0,0,0,0,0,0,0,0,0,1,0,0
261,10,10.0,5.0,0,0,0,1,0,0,0,0,0,0,0,0,0
262,10,8.57,3.75,0,1,0,0,0,0,0,0,0,0,0,0,0
263,10,4.29,3.75,0,0,0,0,0,0,0,0,0,0,0,0,1
264,15,7.14,5.0,0,0,0,1,0,0,0,0,0,0,0,0,0
265,10,2.86,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0
266,10,10.0,3.75,0,0,0,0,0,0,0,0,0,0,1,0,0
267,3,2.86,2.5,0,0,0,0,0,0,0,0,0,1,0,0,0
268,15,8.57,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0
269,15,5.71,10.0,0,0,0,0,0,0,0,0,1,0,0,0,0
270,15,7.14,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0
271,15,7.14,2.5,0,0,0,0,0,0,0,1,0,0,0,0,0
272,10,2.86,6.25,0,0,0,0,0,1,0,0,0,0,0,0,0
273,6,7.14,5.0,0,0,0,0,0,0,0,0,0,1,0,0,0
274,15,8.57,5.0,0,0,0,0,0,1,0,0,0,0,0,0,0
275,6,4.29,3.75,0,1,0,0,0,0,0,0,0,0,0,0,0
276,15,5.71,6.25,0,0,0,0,1,0,0,0,0,0,0,0,0
277,3,5.71,2.5,0,0,0,0,0,1,0,0,0,0,0,0,0
278,15,7.14,5.0,0,0,0,0,0,0,0,0,0,0,0,1,0
279,15,4.29,8.75,0,0,0,0,1,0,0,0,0,0,0,0,0
280,10,4.29,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0
281,15,8.57,5.0,0,0,0,0,0,0,0,0,0,0,1,0,0
282,15,7.14,3.75,0,0,1,0,0,0,0,0,0,0,0,0,0
283,10,4.29,2.5,0,0,0,0,0,0,0,0,0,0,1,0,0
284,15,8.57,3.75,0,0,0,1,0,0,0,0,0,0,0,0,0
285,15,4.29,10.0,0,0,0,1,0,0,0,0,0,0,0,0,0
286,10,8.57,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0
287,3,5.71,8.75,0,0,0,0,0,0,0,0,0,0,0,0,1
288,15,4.29,5.0,0,0,0,0,0,0,0,0,0,1,0,0,0
289,15,5.71,8.75,0,0,0,0,1,0,0,0,0,0,0,0,0
290,15,7.14,6.25,0,0,0,0,0,0,0,0,1,0,0,0,0
291,15,5.71,7.5,0,0,0,1,0,0,0,0,0,0,0,0,0
292,15,1.43,2.5,0,0,0,1,0,0,0,0,0,0,0,0,0
293,6,7.14,7.5,0,0,0,0,0,0,0,0,1,0,0,0,0
294,10,7.14,2.5,0,0,0,0,0,0,0,0,0,0,1,0,0
295,6,7.14,7.5,0,0,0,0,0,0,0,0,0,0,1,0,0
296,6,8.57,5.0,0,0,0,0,0,1,0,0,0,0,0,0,0
297,3,5.71,5.0,0,0,0,1,0,0,0,0,0,0,0,0,0
298,15,8.57,10.0,0,0,0,0,0,0,0,0,0,1,0,0,0
299,10,10.0,3.75,0,0,0,1,0,0,0,0,0,0,0,0,0
300,15,7.14,10.0,0,0,1,0,0,0,0,0,0,0,0,0,0
301,10,5.71,2.5,0,0,0,0,0,0,1,0,0,0,0,0,0
302,15,2.86,7.5,0,0,0,1,0,0,0,0,0,0,0,0,0
303,10,5.71,5.0,0,0,0,1,0,0,0,0,0,0,0,0,0
304,10,10.0,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0
305,6,7.14,3.75,0,0,0,0,0,0,0,1,0,0,0,0,0
306,10,2.86,8.75,0,0,0,0,0,0,0,0,0,0,0,1,0
307,3,2.86,8.75,0,0,0,0,0,1,0,0,0,0,0,0,0
308,6,8.57,3.75,1,0,0,0,0,0,0,0,0,0,0,0,0
309,15,5.71,10.0,0,0,0,0,0,0,0,0,0,0,0,1,0
310,6,7.14,3.75,0,0,0,0,0,0,0,0,0,0,0,1,0
311,15,5.71,5.0,0,0,0,0,0,0,0,0,1,0,0,0,0
312,15,8.57,3.75,0,0,1,0,0,0,0,0,0,0,0,0,0
313,6,10.0,3.75,0,1,0,0,0,0,0,0,0,0,0,0,0
314,15,4.29,6.25,0,0,1,0,0,0,0,0,0,0,0,0,0
315,15,7.14,8.75,0,0,0,0,0,0,0,1,0,0,0,0,0
316,10,2.86,6.25,1,0,0,0,0,0,0,0,0,0,0,0,0
317,6,4.29,2.5,0,1,0,0,0,0,0,0,0,0,0,0,0
318,15,5.71,6.25,0,0,0,0,0,0,0,1,0,0,0,0,0
319,15,7.14,6.25,0,0,0,1,0,0,0,0,0,0,0,0,0
320,6,5.71,3.75,0,0,0,1,0,0,0,0,0,0,0,0,0
321,15,1.43,2.5,0,0,0,0,0,0,0,0,0,1,0,0,0
322,1,4.29,5.0,0,0,0,1,0,0,0,0,0,0,0,0,0
323,10,5.71,7.5,0,0,0,0,0,0,0,0,0,0,0,0,1
324,15,8.57,6.25,0,0,0,0,0,0,0,0,0,0,0,1,0
325,6,8.57,3.75,0,0,0,0,0,0,1,0,0,0,0,0,0
326,10,5.71,3.75,0,0,0,0,0,0,0,0,0,1,0,0,0
327,15,2.86,2.5,0,0,0,0,0,0,0,0,0,0,0,0,1
328,10,8.57,2.5,0,0,0,0,0,0,0,0,0,0,1,0,0
329,6,4.29,3.75,0,0,0,0,0,0,0,0,0,0,0,0,1
330,10,7.14,5.0,0,0,1,0,0,0,0,0,0,0,0,0,0
331,15,4.29,8.75,0,0,0,0,0,0,0,1,0,0,0,0,0
332,6,8.57,3.75,0,0,0,0,0,0,0,0,0,1,0,0,0
333,15,1.43,3.75,0,0,1,0,0,0,0,0,0,0,0,0,0
334,15,7.14,6.25,1,0,0,0,0,0,0,0,0,0,0,0,0
335,15,8.57,5.0,0,0,0,0,0,0,0,0,0,0,1,0,0
336,6,2.86,2.5,0,0,0,0,0,1,0,0,0,0,0,0,0
337,10,8.57,6.25,0,0,0,0,0,1,0,0,0,0,0,0,0
338,15,10.0,3.75,0,0,0,0,0,0,0,0,0,0,1,0,0
339,6,8.57,5.0,0,0,0,0,0,0,0,0,0,0,1,0,0
340,6,8.57,5.0,0,0,0,0,0,0,0,0,0,0,0,1,0
341,15,5.71,3.75,0,1,0,0,0,0,0,0,0,0,0,0,0
342,15,7.14,6.25,0,0,0,0,0,0,0,0,0,0,1,0,0
343,3,1.43,3.75,0,0,0,1,0,0,0,0,0,0,0,0,0
344,6,8.57,3.75,0,0,1,0,0,0,0,0,0,0,0,0,0
345,15,1.43,6.25,0,0,0,0,0,0,0,0,1,0,0,0,0
346,10,5.71,2.5,0,0,0,0,1,0,0,0,0,0,0,0,0
347,15,5.71,10.0,0,0,0,0,0,0,0,0,0,0,1,0,0
348,6,10.0,5.0,0,0,0,0,0,0,0,0,1,0,0,0,0
349,10,8.57,5.0,0,0,0,0,1,0,0,0,0,0,0,0,0
350,10,7.14,7.5,0,0,1,0,0,0,0,0,0,0,0,0,0
351,6,10.0,2.5,0,0,0,0,0,1,0,0,0,0,0,0,0
352,15,8.57,3.75,1,0,0,0,0,0,0,0,0,0,0,0,0
353,10,5.71,6.25,0,0,0,0,0,1,0,0,0,0,0,0,0
354,10,5.71,2.5,0,0,1,0,0,0,0,0,0,0,0,0,0
355,6,10.0,3.75,0,0,0,0,0,0,0,0,0,0,0,0,1
356,15,10.0,3.75,0,0,0,0,0,0,1,0,0,0,0,0,0
357,10,8.57,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0
358,3,1.43,5.0,0,0,0,0,0,0,0,0,0,0,0,0,1
359,15,10.0,3.75,0,0,0,0,1,0,0,0,0,0,0,0,0
360,15,4.29,8.75,0,0,0,0,0,0,0,0,0,1,0,0,0
361,10,8.57,3.75,0,0,0,0,0,0,1,0,0,0,0,0,0
