,proportion_kbw,depth/carat_kbw,table/carat_kbw,x/y_kbw,depth/table_kbw,volume/table_kbw,volume/depth_kbw
182,7.0,2.0,1.0,6.0,12.0,4.0,3.0
183,1.0,10.0,8.0,5.0,11.0,0.0,0.0
184,5.0,2.0,2.0,3.0,7.0,3.0,3.0
185,5.0,3.0,3.0,5.0,10.0,2.0,2.0
186,0.0,10.0,9.0,4.0,8.0,0.0,0.0
187,3.0,6.0,6.0,6.0,7.0,0.0,0.0
188,8.0,2.0,2.0,6.0,3.0,3.0,3.0
189,7.0,2.0,2.0,5.0,8.0,4.0,3.0
190,0.0,11.0,9.0,5.0,12.0,0.0,0.0
191,5.0,3.0,3.0,4.0,10.0,2.0,2.0
192,9.0,0.0,0.0,4.0,8.0,6.0,5.0
193,11.0,0.0,0.0,6.0,9.0,10.0,8.0
194,3.0,5.0,4.0,4.0,8.0,1.0,1.0
195,9.0,1.0,1.0,6.0,5.0,5.0,4.0
196,5.0,2.0,2.0,6.0,10.0,3.0,3.0
197,8.0,2.0,3.0,7.0,1.0,2.0,3.0
198,6.0,3.0,3.0,7.0,6.0,2.0,2.0
199,0.0,10.0,9.0,6.0,8.0,0.0,0.0
200,9.0,1.0,1.0,5.0,9.0,5.0,4.0
201,8.0,2.0,2.0,6.0,4.0,3.0,3.0
202,0.0,10.0,9.0,6.0,10.0,0.0,0.0
203,1.0,10.0,10.0,3.0,5.0,0.0,0.0
204,4.0,5.0,5.0,7.0,6.0,1.0,1.0
205,3.0,5.0,5.0,5.0,7.0,1.0,1.0
206,4.0,4.0,5.0,6.0,5.0,1.0,1.0
207,0.0,10.0,9.0,4.0,9.0,0.0,0.0
208,3.0,5.0,5.0,5.0,7.0,1.0,1.0
209,2.0,6.0,6.0,6.0,7.0,0.0,0.0
210,10.0,0.0,0.0,6.0,5.0,7.0,6.0
211,6.0,3.0,3.0,5.0,4.0,2.0,2.0
212,9.0,1.0,0.0,3.0,10.0,6.0,5.0
213,6.0,2.0,2.0,4.0,7.0,3.0,3.0
214,8.0,1.0,1.0,5.0,7.0,5.0,4.0
215,7.0,2.0,2.0,6.0,6.0,3.0,3.0
216,3.0,5.0,5.0,4.0,7.0,1.0,1.0
217,8.0,2.0,2.0,5.0,5.0,3.0,3.0
218,1.0,9.0,8.0,5.0,9.0,0.0,0.0
219,1.0,7.0,6.0,5.0,8.0,0.0,0.0
220,1.0,9.0,8.0,5.0,10.0,0.0,0.0
221,9.0,0.0,0.0,6.0,7.0,6.0,5.0
222,7.0,2.0,2.0,7.0,7.0,4.0,3.0
223,7.0,2.0,2.0,6.0,6.0,4.0,3.0
224,6.0,2.0,2.0,7.0,12.0,4.0,3.0
225,0.0,10.0,9.0,6.0,7.0,0.0,0.0
226,0.0,10.0,9.0,5.0,9.0,0.0,0.0
227,7.0,2.0,2.0,5.0,8.0,4.0,3.0
228,2.0,7.0,6.0,7.0,9.0,0.0,0.0
229,0.0,10.0,8.0,4.0,10.0,0.0,0.0
230,1.0,10.0,9.0,4.0,7.0,0.0,0.0
231,4.0,4.0,4.0,5.0,7.0,1.0,1.0
232,1.0,9.0,8.0,7.0,7.0,0.0,0.0
233,0.0,10.0,10.0,5.0,5.0,0.0,0.0
234,2.0,6.0,6.0,7.0,10.0,0.0,0.0
235,2.0,8.0,8.0,5.0,6.0,0.0,0.0
236,5.0,3.0,3.0,3.0,6.0,2.0,2.0
237,0.0,11.0,10.0,4.0,8.0,0.0,0.0
238,4.0,3.0,3.0,6.0,11.0,2.0,2.0
239,2.0,8.0,7.0,7.0,7.0,0.0,0.0
240,7.0,2.0,2.0,6.0,7.0,4.0,3.0
241,6.0,3.0,3.0,6.0,5.0,2.0,2.0
242,6.0,0.0,2.0,7.0,0.0,3.0,5.0
243,6.0,2.0,2.0,5.0,7.0,3.0,3.0
244,9.0,1.0,2.0,4.0,4.0,4.0,4.0
245,0.0,12.0,11.0,4.0,6.0,0.0,0.0
246,8.0,1.0,1.0,6.0,7.0,4.0,4.0
247,7.0,2.0,2.0,3.0,9.0,4.0,3.0
248,7.0,1.0,1.0,4.0,11.0,5.0,4.0
249,7.0,1.0,1.0,5.0,9.0,4.0,4.0
250,6.0,3.0,3.0,6.0,7.0,2.0,2.0
251,6.0,3.0,3.0,5.0,5.0,2.0,2.0
252,5.0,3.0,3.0,5.0,4.0,2.0,2.0
253,9.0,1.0,0.0,5.0,11.0,6.0,4.0
254,8.0,1.0,1.0,8.0,7.0,5.0,4.0
255,4.0,5.0,4.0,4.0,9.0,1.0,1.0
256,9.0,1.0,1.0,5.0,7.0,5.0,4.0
257,7.0,2.0,2.0,7.0,6.0,4.0,3.0
258,5.0,4.0,4.0,4.0,5.0,1.0,1.0
259,4.0,4.0,4.0,4.0,9.0,2.0,1.0
260,7.0,2.0,2.0,6.0,5.0,3.0,3.0
261,8.0,1.0,1.0,7.0,5.0,5.0,4.0
262,7.0,2.0,2.0,7.0,6.0,3.0,3.0
263,8.0,1.0,2.0,6.0,5.0,4.0,3.0
264,1.0,8.0,7.0,5.0,10.0,0.0,0.0
265,8.0,1.0,1.0,7.0,8.0,5.0,4.0
266,5.0,4.0,5.0,6.0,5.0,1.0,1.0
267,3.0,5.0,5.0,5.0,9.0,1.0,1.0
268,8.0,1.0,1.0,4.0,7.0,4.0,4.0
269,1.0,9.0,8.0,5.0,7.0,0.0,0.0
270,2.0,8.0,7.0,6.0,10.0,0.0,0.0
271,7.0,2.0,2.0,6.0,9.0,4.0,3.0
272,2.0,8.0,8.0,7.0,4.0,0.0,0.0
273,5.0,3.0,3.0,5.0,9.0,2.0,2.0
274,1.0,9.0,8.0,8.0,10.0,0.0,0.0
275,11.0,0.0,0.0,6.0,4.0,8.0,8.0
276,1.0,9.0,8.0,4.0,8.0,0.0,0.0
277,5.0,2.0,2.0,6.0,11.0,3.0,3.0
278,8.0,1.0,1.0,4.0,7.0,4.0,3.0
279,1.0,10.0,8.0,6.0,8.0,0.0,0.0
280,7.0,2.0,2.0,7.0,7.0,4.0,3.0
281,1.0,8.0,7.0,7.0,10.0,0.0,0.0
282,2.0,9.0,8.0,3.0,9.0,0.0,0.0
283,11.0,0.0,0.0,7.0,6.0,11.0,10.0
284,4.0,4.0,4.0,6.0,10.0,1.0,1.0
285,4.0,4.0,4.0,5.0,8.0,1.0,1.0
286,4.0,5.0,5.0,6.0,6.0,1.0,1.0
287,6.0,3.0,3.0,5.0,2.0,2.0,2.0
288,4.0,5.0,4.0,4.0,10.0,1.0,1.0
289,0.0,10.0,8.0,4.0,12.0,0.0,0.0
290,5.0,3.0,3.0,5.0,10.0,2.0,2.0
291,2.0,7.0,6.0,4.0,12.0,0.0,0.0
292,7.0,2.0,2.0,7.0,10.0,4.0,3.0
293,1.0,9.0,8.0,3.0,7.0,0.0,0.0
294,6.0,2.0,2.0,7.0,7.0,3.0,3.0
295,1.0,9.0,8.0,4.0,10.0,0.0,0.0
296,9.0,0.0,0.0,5.0,6.0,6.0,5.0
297,6.0,2.0,2.0,5.0,9.0,4.0,3.0
298,1.0,9.0,8.0,4.0,8.0,0.0,0.0
299,5.0,3.0,3.0,6.0,6.0,2.0,2.0
300,2.0,10.0,9.0,3.0,5.0,0.0,0.0
301,9.0,1.0,1.0,7.0,6.0,5.0,4.0
302,5.0,3.0,3.0,5.0,12.0,2.0,2.0
303,4.0,5.0,5.0,7.0,6.0,1.0,1.0
304,9.0,0.0,0.0,6.0,7.0,6.0,5.0
305,3.0,6.0,6.0,4.0,6.0,0.0,0.0
306,1.0,9.0,8.0,6.0,6.0,0.0,0.0
307,6.0,2.0,2.0,5.0,5.0,3.0,3.0
308,2.0,7.0,6.0,6.0,10.0,0.0,0.0
309,1.0,10.0,8.0,5.0,9.0,0.0,0.0
310,11.0,0.0,0.0,5.0,3.0,6.0,6.0
311,7.0,2.0,2.0,6.0,9.0,4.0,3.0
312,4.0,4.0,3.0,6.0,11.0,2.0,1.0
313,6.0,2.0,2.0,6.0,10.0,3.0,3.0
314,2.0,8.0,7.0,5.0,10.0,0.0,0.0
315,1.0,10.0,8.0,6.0,10.0,0.0,0.0
316,9.0,0.0,1.0,6.0,6.0,6.0,5.0
317,10.0,0.0,0.0,5.0,8.0,7.0,6.0
318,1.0,9.0,7.0,5.0,9.0,0.0,0.0
319,7.0,2.0,1.0,5.0,8.0,4.0,3.0
320,3.0,6.0,7.0,5.0,3.0,0.0,0.0
321,8.0,1.0,1.0,6.0,7.0,4.0,4.0
322,5.0,2.0,2.0,6.0,11.0,3.0,2.0
323,1.0,9.0,8.0,4.0,6.0,0.0,0.0
324,1.0,9.0,8.0,8.0,9.0,0.0,0.0
325,5.0,3.0,3.0,4.0,7.0,2.0,2.0
326,9.0,0.0,1.0,8.0,4.0,6.0,5.0
327,11.0,0.0,0.0,7.0,10.0,10.0,8.0
328,7.0,2.0,2.0,7.0,6.0,3.0,3.0
329,7.0,2.0,2.0,7.0,8.0,4.0,3.0
330,9.0,1.0,1.0,8.0,8.0,5.0,4.0
331,5.0,3.0,3.0,5.0,9.0,2.0,2.0
332,6.0,3.0,3.0,5.0,7.0,3.0,2.0
333,8.0,1.0,1.0,5.0,10.0,5.0,4.0
334,0.0,11.0,10.0,4.0,8.0,0.0,0.0
335,3.0,5.0,4.0,7.0,10.0,1.0,1.0
336,7.0,2.0,2.0,7.0,3.0,3.0,3.0
337,3.0,6.0,5.0,5.0,7.0,1.0,1.0
338,2.0,8.0,7.0,6.0,8.0,0.0,0.0
339,0.0,10.0,9.0,5.0,8.0,0.0,0.0
340,8.0,2.0,2.0,5.0,6.0,4.0,3.0
341,9.0,1.0,1.0,6.0,6.0,5.0,4.0
342,2.0,8.0,7.0,5.0,9.0,0.0,0.0
343,10.0,0.0,0.0,5.0,8.0,8.0,7.0
344,2.0,7.0,6.0,6.0,10.0,0.0,0.0
345,3.0,6.0,6.0,5.0,7.0,0.0,0.0
346,6.0,2.0,2.0,5.0,5.0,3.0,3.0
347,3.0,5.0,4.0,4.0,11.0,1.0,1.0
348,1.0,9.0,8.0,4.0,9.0,0.0,0.0
349,10.0,0.0,0.0,7.0,7.0,7.0,6.0
350,1.0,10.0,9.0,3.0,7.0,0.0,0.0
351,9.0,0.0,0.0,7.0,7.0,6.0,5.0
352,7.0,2.0,2.0,4.0,8.0,4.0,3.0
353,10.0,0.0,0.0,7.0,6.0,7.0,6.0
354,7.0,2.0,2.0,6.0,5.0,3.0,3.0
355,5.0,3.0,3.0,4.0,11.0,2.0,2.0
356,1.0,10.0,8.0,4.0,11.0,0.0,0.0
357,5.0,3.0,3.0,8.0,5.0,2.0,2.0
358,9.0,0.0,0.0,6.0,9.0,6.0,5.0
359,1.0,9.0,8.0,4.0,9.0,0.0,0.0
360,1.0,10.0,8.0,6.0,8.0,0.0,0.0
361,8.0,1.0,2.0,7.0,6.0,4.0,3.0
362,1.0,9.0,7.0,5.0,10.0,0.0,0.0
363,6.0,2.0,2.0,6.0,8.0,4.0,3.0
364,4.0,4.0,4.0,5.0,9.0,1.0,1.0
365,6.0,2.0,2.0,5.0,8.0,3.0,3.0
366,3.0,6.0,5.0,6.0,10.0,1.0,1.0
367,6.0,2.0,2.0,4.0,7.0,3.0,3.0
368,9.0,1.0,1.0,3.0,8.0,5.0,4.0
369,3.0,5.0,4.0,5.0,12.0,1.0,1.0
370,8.0,1.0,1.0,5.0,11.0,5.0,4.0
371,11.0,0.0,0.0,5.0,8.0,9.0,8.0
372,3.0,6.0,6.0,4.0,9.0,1.0,0.0
373,4.0,3.0,3.0,6.0,5.0,2.0,2.0
374,6.0,2.0,2.0,6.0,9.0,3.0,3.0
375,5.0,4.0,4.0,6.0,3.0,1.0,1.0
376,6.0,2.0,2.0,5.0,7.0,3.0,3.0
377,5.0,3.0,3.0,5.0,9.0,2.0,2.0
378,1.0,9.0,8.0,5.0,11.0,0.0,0.0
379,3.0,7.0,7.0,4.0,5.0,0.0,0.0
380,0.0,13.0,11.0,4.0,7.0,0.0,0.0
381,7.0,2.0,1.0,8.0,11.0,4.0,3.0
382,6.0,2.0,2.0,6.0,7.0,3.0,3.0
383,2.0,6.0,6.0,7.0,10.0,0.0,0.0
384,5.0,3.0,3.0,7.0,4.0,2.0,2.0
385,4.0,5.0,5.0,8.0,4.0,1.0,1.0
386,7.0,2.0,2.0,4.0,8.0,4.0,3.0
387,2.0,6.0,6.0,6.0,9.0,0.0,0.0
388,10.0,0.0,0.0,5.0,9.0,7.0,6.0
389,3.0,5.0,5.0,5.0,9.0,1.0,1.0
390,3.0,6.0,6.0,4.0,3.0,0.0,0.0
391,8.0,1.0,1.0,7.0,10.0,5.0,4.0
392,6.0,2.0,2.0,5.0,5.0,3.0,3.0
393,5.0,3.0,3.0,7.0,6.0,2.0,2.0
394,8.0,2.0,2.0,4.0,6.0,4.0,3.0
395,6.0,2.0,2.0,6.0,10.0,3.0,3.0
396,1.0,9.0,7.0,6.0,10.0,0.0,0.0
397,4.0,5.0,4.0,7.0,9.0,1.0,1.0
398,7.0,2.0,2.0,8.0,7.0,4.0,3.0
399,6.0,2.0,2.0,4.0,8.0,4.0,3.0
400,8.0,1.0,1.0,7.0,10.0,5.0,4.0
401,4.0,3.0,3.0,5.0,10.0,2.0,2.0
402,6.0,3.0,3.0,5.0,8.0,2.0,2.0
403,6.0,2.0,2.0,6.0,10.0,3.0,3.0
404,1.0,9.0,8.0,5.0,9.0,0.0,0.0
405,6.0,2.0,3.0,6.0,3.0,3.0,3.0
406,3.0,6.0,6.0,5.0,10.0,1.0,0.0
407,1.0,10.0,8.0,5.0,9.0,0.0,0.0
408,5.0,3.0,3.0,6.0,11.0,2.0,2.0
409,1.0,9.0,8.0,3.0,7.0,0.0,0.0
410,3.0,6.0,5.0,6.0,9.0,1.0,1.0
411,1.0,10.0,9.0,5.0,8.0,0.0,0.0
412,2.0,7.0,6.0,4.0,11.0,0.0,0.0
413,11.0,0.0,0.0,6.0,5.0,8.0,7.0
414,4.0,5.0,6.0,6.0,4.0,1.0,1.0
415,4.0,5.0,4.0,5.0,10.0,1.0,1.0
416,5.0,4.0,4.0,5.0,7.0,1.0,1.0
417,5.0,3.0,3.0,6.0,9.0,2.0,2.0
418,3.0,6.0,5.0,4.0,11.0,1.0,1.0
419,7.0,2.0,2.0,6.0,5.0,4.0,3.0
420,7.0,2.0,2.0,7.0,7.0,4.0,3.0
421,5.0,3.0,3.0,4.0,12.0,2.0,2.0
422,3.0,6.0,6.0,6.0,5.0,0.0,0.0
423,2.0,7.0,6.0,4.0,9.0,0.0,0.0
424,2.0,4.0,3.0,8.0,13.0,2.0,1.0
425,8.0,1.0,1.0,4.0,6.0,4.0,4.0
426,8.0,1.0,1.0,5.0,10.0,5.0,4.0
427,4.0,4.0,4.0,7.0,9.0,1.0,1.0
428,0.0,10.0,8.0,5.0,10.0,0.0,0.0
429,7.0,2.0,2.0,3.0,8.0,4.0,3.0
430,4.0,4.0,3.0,4.0,12.0,2.0,1.0
431,1.0,10.0,9.0,5.0,5.0,0.0,0.0
432,2.0,6.0,6.0,6.0,8.0,0.0,0.0
433,6.0,3.0,3.0,5.0,4.0,2.0,2.0
434,3.0,6.0,6.0,4.0,6.0,0.0,1.0
435,4.0,4.0,3.0,5.0,10.0,2.0,2.0
436,1.0,10.0,8.0,5.0,11.0,0.0,0.0
437,2.0,7.0,6.0,5.0,9.0,0.0,0.0
438,3.0,7.0,7.0,4.0,4.0,0.0,0.0
439,2.0,7.0,6.0,7.0,9.0,0.0,0.0
440,1.0,9.0,8.0,6.0,10.0,0.0,0.0
441,10.0,0.0,0.0,8.0,6.0,6.0,5.0
442,11.0,0.0,0.0,5.0,9.0,9.0,7.0
443,8.0,1.0,1.0,6.0,10.0,5.0,4.0
444,1.0,7.0,6.0,6.0,10.0,0.0,0.0
445,8.0,1.0,1.0,4.0,10.0,5.0,4.0
446,8.0,2.0,2.0,4.0,7.0,4.0,3.0
447,8.0,1.0,1.0,5.0,12.0,5.0,4.0
448,8.0,2.0,2.0,5.0,3.0,3.0,3.0
449,4.0,5.0,4.0,8.0,9.0,1.0,1.0
450,10.0,0.0,0.0,6.0,5.0,6.0,5.0
451,1.0,10.0,8.0,5.0,10.0,0.0,0.0
452,3.0,5.0,5.0,4.0,8.0,1.0,1.0
453,2.0,10.0,9.0,3.0,6.0,0.0,0.0
454,11.0,0.0,0.0,6.0,8.0,9.0,7.0
455,8.0,1.0,2.0,4.0,4.0,4.0,3.0
456,5.0,3.0,3.0,5.0,10.0,2.0,2.0
457,8.0,2.0,2.0,6.0,4.0,3.0,3.0
458,2.0,6.0,6.0,6.0,8.0,0.0,0.0
459,9.0,1.0,1.0,4.0,4.0,5.0,5.0
460,7.0,2.0,2.0,6.0,5.0,3.0,3.0
461,2.0,9.0,9.0,4.0,4.0,0.0,0.0
